gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Significance
PHGDH,5279.2759826908405,2.1179418510635726,0.1441655222047241,14.691042758864095,7.357282922899828e-49,2.370711433966263e-47,Upregulated
FSD1,51.18690644831967,2.974762566718958,0.20270986269860902,14.674976970123371,9.324721356887482e-49,2.9874698881570046e-47,Upregulated
MLC1,139.01890453281604,3.293343585789145,0.22443304975256279,14.674057984864765,9.451909693119245e-49,3.016704561370454e-47,Upregulated
ADGRG2,239.03709475084946,2.5222965982285737,0.1721366677734496,14.652872225621259,1.2913911083605321e-48,4.082838781008778e-47,Upregulated
NDC80,1016.1667601068315,1.5353160103250296,0.10482769283820285,14.646091779342369,1.4269062953857086e-48,4.502801294536706e-47,Upregulated
VGLL1,686.0585888761431,4.267094058751464,0.2917050489401576,14.628111766508525,1.858744252243949e-48,5.832635234891854e-47,Upregulated
GPSM2,1286.8736720821023,1.1978919568840745,0.0819420345253649,14.618772450826453,2.1320988804960456e-48,6.653099629324835e-47,Upregulated
DZIP1,669.9183250097516,1.3881368829989058,0.09495962249307639,14.618180301844781,2.1507214343389948e-48,6.698759079718561e-47,Upregulated
KCNS1,85.47964672803097,2.8825994688563066,0.19780870589356836,14.572662289228559,4.192293440955123e-48,1.2843106256707044e-46,Upregulated
CRYAB,4274.122651307389,2.4645967408994416,0.16918073265644273,14.567833477257286,4.499351597425081e-48,1.368389757564715e-46,Upregulated
PIMREG,475.104932474047,1.6477728520862416,0.1131699478683465,14.560162685619844,5.033786750638993e-48,1.5281593484580001e-46,Upregulated
LMNB2,4721.431419655959,1.0063298013454987,0.06922561342907278,14.536957514671425,7.066424659535271e-48,2.1260060427289987e-46,Upregulated
IL12RB2,530.2693758562275,3.0021413429234425,0.2065823543665245,14.532419054518833,7.550615714343956e-48,2.267616039577931e-46,Upregulated
FANCA,687.1851329572949,1.4268183323282497,0.09832141961432046,14.511775134300791,1.0204517407612185e-47,3.0591685399820244e-46,Upregulated
DSG1,485.6803998554177,4.293627886305007,0.29587866375178346,14.511448145199779,1.0253283215753896e-47,3.0683087099122354e-46,Upregulated
ZNF280B,77.73563084676127,2.166847341854726,0.1493845964007479,14.505159126593039,1.1237657469450545e-47,3.3509377193096938e-46,Upregulated
ALKAL2,74.30202390454694,3.4917225598943906,0.24090218492782778,14.494358201609838,1.3152596593225696e-47,3.9080671080897876e-46,Upregulated
CENPA,474.4605115748911,1.669896258933805,0.11524352588012327,14.49015245047984,1.3983212804536421e-47,4.132925643706998e-46,Upregulated
TTK,1031.2310506842687,1.5727020431709173,0.1085407040261885,14.489513931948135,1.411380234509436e-47,4.164191806141373e-46,Upregulated
CAVIN4,37.63285669034642,1.478729224265881,0.10214431854813652,14.476862201288418,1.6966757894885793e-47,4.9971566936726786e-46,Upregulated
CXCL5,118.26214183988688,3.9535942505363866,0.27405726838828903,14.42616090347535,3.5425856354236744e-47,1.0307266490033388e-45,Upregulated
PRKD3,2327.599930785715,1.1798420098914324,0.08185556922712606,14.413704785531506,4.2432477180625444e-47,1.2303219808434195e-45,Upregulated
SLC22A16,16.873799333510682,2.7992335946520406,0.19424105455468008,14.411132605666731,4.404281216912562e-47,1.274811604647036e-45,Upregulated
GABRP,8801.03240834974,3.6044416429466746,0.2501344792784585,14.41001517801184,4.476120261960419e-47,1.2933753349017474e-45,Upregulated
FAM3D,107.63415379883037,3.3918719503865424,0.2356281446396056,14.395020406303445,5.560847038783247e-47,1.6040463932490232e-45,Upregulated
TRDMT1,354.8864604630686,1.0125841331677616,0.0703700975025345,14.38940926764087,6.030882498821729e-47,1.7366458900552177e-45,Upregulated
ODAM,66.7680702946607,4.330845936673187,0.3011448435720523,14.381272099175037,6.78361136359845e-47,1.9500559515768966e-45,Upregulated
MFHAS1,1386.3256623531554,1.0294801110319705,0.07163475672042234,14.371237624912268,7.841727558458927e-47,2.2503747393403157e-45,Upregulated
